	orf1	orf2	orf_pair	delta_prime_median	sd_delta_prime_median	prob_interaction_median	correlation	name1	name2
0	RVBD0050	RVBD0050	RVBD0050_RVBD0050	0.0836050408293522	0.0841824223502382	0.0030427103956337	1.0	ponA1	ponA1
1	RVBD0050	RVBD0392c	RVBD0050_RVBD0392c	-0.253196762017946	0.0689658770116688	0.0030494682056119	0.035712053195369	ponA1	ndhA
2	RVBD0050	RVBD1025	RVBD0050_RVBD1025	0.1687414182217565	0.0911342953479264	0.003074334215089	-0.0310641119082728	ponA1	rv1025
3	RVBD0050	RVBD1304	RVBD0050_RVBD1304	-0.4458140372385881	0.0725196659191163	0.0031492949900736	0.0455240746663659	ponA1	atpB
4	RVBD0050	RVBD1822	RVBD0050_RVBD1822	-0.3137086313792157	0.129244221426362	0.0030730215843374	0.1759985821742672	ponA1	pgsA2
5	RVBD0050	RVBD1854c	RVBD0050_RVBD1854c	0.738262106019862	0.1561362764327605	0.0036889249832247	0.0318606453553792	ponA1	ndh
6	RVBD0050	RVBD2193	RVBD0050_RVBD2193	-0.1686923020802391	0.0999101173864774	0.0030281167197919	0.0787636918835253	ponA1	ctaE
7	RVBD0050	RVBD2200c	RVBD0050_RVBD2200c	-0.833464522734745	0.1054166533377729	0.0035974457729697	0.1111424900464518	ponA1	ctaC
8	RVBD0050	RVBD2447c	RVBD0050_RVBD2447c	0.5382870494650365	0.0893235080074101	0.003383597581882	0.0592941397998506	ponA1	folC
9	RVBD0050	RVBD2754c	RVBD0050_RVBD2754c	-2.667014512146587	0.104200232733078	0.0229133119969183	0.2810206893596267	ponA1	thyX
10	RVBD0050	RVBD2764c	RVBD0050_RVBD2764c	-4.433887698659492	0.1377524562588624	0.4965540332997331	0.3650516550704745	ponA1	thyA
11	RVBD0050	RVBD2794c	RVBD0050_RVBD2794c	-0.1669790060032019	0.0936600508457408	0.0030278212427383	0.0777681082312591	ponA1	pptT
12	RVBD0050	RVBD3261	RVBD0050_RVBD3261	0.149562006105432	0.0807975442833422	0.0030660046987834	0.0798202550336397	ponA1	fbiA
13	RVBD0050	RVBD3682	RVBD0050_RVBD3682	-17.6469201483222	0.9655918052672248	1.0	0.2216048904066842	ponA1	ponA2
14	RVBD0050	RVBD3795	RVBD0050_RVBD3795	-1.9244809097871345	0.1321030587934818	0.0085167035662822	0.4237139887487255	ponA1	embB
15	RVBD0392c	RVBD0392c	RVBD0392c_RVBD0392c	-5.306186819162168	0.131517821233824	0.9263793502950052	1.0	ndhA	ndhA
16	RVBD0392c	RVBD1025	RVBD0392c_RVBD1025	-0.5917269943437558	0.099801076445389	0.003275804463648	0.0564065138602754	ndhA	rv1025
17	RVBD0392c	RVBD1304	RVBD0392c_RVBD1304	-3.064959223236508	0.1131971389382328	0.0440882408002441	0.2780117655190419	ndhA	atpB
18	RVBD0392c	RVBD1822	RVBD0392c_RVBD1822	-1.2586245255658928	0.1709085125708209	0.0046218421050633	0.1298029765575458	ndhA	pgsA2
19	RVBD0392c	RVBD1854c	RVBD0392c_RVBD1854c	-12.29607786312879	0.8442666253047372	1.0	0.2148837933081376	ndhA	ndh
20	RVBD0392c	RVBD2193	RVBD0392c_RVBD2193	-2.1489162634876235	0.1186678241883943	0.0111070474268134	0.1650206297285559	ndhA	ctaE
21	RVBD0392c	RVBD2200c	RVBD0392c_RVBD2200c	-1.637528314554194	0.1047050110795811	0.0063346177915086	0.1611117885401542	ndhA	ctaC
22	RVBD0392c	RVBD2447c	RVBD0392c_RVBD2447c	-0.345441832836077	0.0708016408047719	0.003088187376828	0.320673852854851	ndhA	folC
23	RVBD0392c	RVBD2754c	RVBD0392c_RVBD2754c	-3.20970696192335	0.1155610642050048	0.0569719791433676	0.5444815879453205	ndhA	thyX
24	RVBD0392c	RVBD2764c	RVBD0392c_RVBD2764c	-0.6467915497079764	0.0737068069046903	0.0033360334535115	0.2746587370001072	ndhA	thyA
25	RVBD0392c	RVBD2794c	RVBD0392c_RVBD2794c	-0.8471826960302347	0.0756682058695248	0.0036204600276815	0.4075125836050458	ndhA	pptT
26	RVBD0392c	RVBD3261	RVBD0392c_RVBD3261	-1.8819954233492544	0.0937144708988234	0.0081263433358215	0.4443162288404966	ndhA	fbiA
27	RVBD0392c	RVBD3682	RVBD0392c_RVBD3682	0.7829023909934096	0.0606488991307787	0.003773219444259	-0.0495684417357989	ndhA	ponA2
28	RVBD0392c	RVBD3795	RVBD0392c_RVBD3795	-0.5322656711960594	0.1081491888005204	0.0032186263111104	0.0792191557418543	ndhA	embB
29	RVBD1025	RVBD1025	RVBD1025_RVBD1025	-2.5711108393633646	0.3037154073084441	0.0198121593181539	1.0	rv1025	rv1025
30	RVBD1025	RVBD1304	RVBD1025_RVBD1304	-0.2265576516990077	0.0885779008531248	0.0030412982959268	0.1905981668521641	rv1025	atpB
31	RVBD1025	RVBD1822	RVBD1025_RVBD1822	-1.2405099978288403	0.1640099558884162	0.0045625828874538	0.4814694350970589	rv1025	pgsA2
32	RVBD1025	RVBD1854c	RVBD1025_RVBD1854c	1.0848685648628569	0.1253397768492743	0.0045377118814638	0.0306893922633945	rv1025	ndh
33	RVBD1025	RVBD2193	RVBD1025_RVBD2193	-0.1090696977140028	0.0992231676219008	0.0030210096597089	0.1010609139748657	rv1025	ctaE
34	RVBD1025	RVBD2200c	RVBD1025_RVBD2200c	0.1778333182082825	0.1292941304176391	0.0030785309118609	0.0931501413851685	rv1025	ctaC
35	RVBD1025	RVBD2447c	RVBD1025_RVBD2447c	-0.5875133361600744	0.101923532590062	0.0032714885422207	0.207553376337856	rv1025	folC
36	RVBD1025	RVBD2754c	RVBD1025_RVBD2754c	-0.1414365666748693	0.0970650217454846	0.0030240560448882	0.2199504663309122	rv1025	thyX
37	RVBD1025	RVBD2764c	RVBD1025_RVBD2764c	0.189750607325127	0.0874195659125682	0.0030842748023753	0.1777482281210823	rv1025	thyA
38	RVBD1025	RVBD2794c	RVBD1025_RVBD2794c	-1.0303588392325684	0.089757364183726	0.003985532966253	0.1855343234420482	rv1025	pptT
39	RVBD1025	RVBD3261	RVBD1025_RVBD3261	-0.1412418183697039	0.1050997284394239	0.0030240321196955	0.0544013417015417	rv1025	fbiA
40	RVBD1025	RVBD3682	RVBD1025_RVBD3682	0.2034308965124576	0.0721437350455391	0.0030912097447719	0.000843178401357	rv1025	ponA2
41	RVBD1025	RVBD3795	RVBD1025_RVBD3795	1.0549088369438202	0.1182762418635944	0.0044444459706152	0.0247647568192684	rv1025	embB
42	RVBD1304	RVBD1304	RVBD1304_RVBD1304	-8.084518545185544	0.4576032039259355	0.99999890936572	1.0	atpB	atpB
43	RVBD1304	RVBD1822	RVBD1304_RVBD1822	-0.1769250973809804	0.1543724701661065	0.0030296132480356	0.3427151697460999	atpB	pgsA2
44	RVBD1304	RVBD1854c	RVBD1304_RVBD1854c	0.1966153883842625	0.1694976540670498	0.0030877090596479	0.313276917449839	atpB	ndh
45	RVBD1304	RVBD2193	RVBD1304_RVBD2193	-0.2177768730938733	0.1123755814199623	0.0030388971213482	0.5183532703577587	atpB	ctaE
46	RVBD1304	RVBD2200c	RVBD1304_RVBD2200c	-0.6951060520832675	0.1126782503431181	0.0033949271938266	0.4480760346670441	atpB	ctaC
